,代码,名称,当前市值(亿元),目标市值(亿元),目标估值,近年平均利润(亿元),加权年数
245,600757.XSHG,长江传媒,64.5662,102.1719935415,15,6.8114662361,4
246,600781.XSHG,*ST辅仁,18.5011,65.97033846449999,15,4.3980225643,4
247,600782.XSHG,新钢股份,187.178,484.973062947375,15,32.331537529825,4
248,600790.XSHG,轻纺城,47.0519,59.566944181125,15,3.9711296120750004,4
249,600801.XSHG,华新水泥,494.7976,527.0000215875,15,35.1333347725,4
250,600808.XSHG,马钢股份,235.6408,466.0975437375,15,31.0731695825,4
251,600820.XSHG,隧道股份,168.838,284.196175429125,15,18.946411695275,4
252,600823.XSHG,世茂股份,170.6782,344.15506895737497,15,22.943671263824996,4
253,600826.XSHG,兰生股份,45.1781,57.44730274687501,15,3.8298201831250007,4
254,600828.XSHG,茂业商业,62.871,152.4940486515,15,10.1662699101,4
255,600835.XSHG,上海机电,189.0022,194.52898092975,15,12.96859872865,4
256,600894.XSHG,广日股份,72.1495,76.024690375125,15,5.0683126916750005,4
257,600897.XSHG,厦门空港,55.0651,68.749397650125,15,4.583293176675,4
258,600901.XSHG,江苏租赁,164.5644,175.086543922125,15,11.672436261475001,4
259,600908.XSHG,无锡银行,125.3147,158.7321375,15,10.5821425,4
260,600919.XSHG,江苏银行,974.794,1881.342,15,125.4228,4
261,600928.XSHG,西安银行,234.2222,344.20201515,15,22.94680101,4
262,600971.XSHG,恒源煤电,69.9603,130.83440613937498,15,8.722293742624998,4
263,600978.XSHG,*ST宜生,7.7109,62.38678487625,15,4.15911899175,4
264,600981.XSHG,汇鸿集团,63.9093,110.215691569125,15,7.347712771275001,4
265,600985.XSHG,淮北矿业,253.328,276.989918929125,15,18.465994595275003,4
266,600987.XSHG,航民股份,59.9854,94.321701395625,15,6.288113426375,4
267,600996.XSHG,贵广网络,52.9006,52.9127992695,15,3.5275199513,4
268,600997.XSHG,开滦股份,119.7201,129.790181041125,15,8.652678736075,4
269,601000.XSHG,唐山港,151.1112,231.42066724537497,15,15.428044483024998,4
270,601003.XSHG,柳钢股份,174.0137,367.46874754425005,15,24.49791650295,4
271,601006.XSHG,大秦铁路,1036.2155,1827.4294914,15,121.82863276,4
272,601009.XSHG,南京银行,1007.7066,1554.60735,15,103.64049,4
273,601019.XSHG,山东出版,123.5445,204.042822252375,15,13.602854816825,4
274,601077.XSHG,渝农商行,497.4366,1338.7051875,15,89.2470125,4
275,601088.XSHG,中国神华,3814.7559,5807.475,15,387.165,4
276,601098.XSHG,中南传媒,188.58,218.68031823675,15,14.57868788245,4
277,601101.XSHG,昊华能源,48.8399,59.99680285575,15,3.9997868570499997,4
278,601107.XSHG,四川成渝,98.1637,145.03061313675,15,9.668707542449999,4
279,601155.XSHG,新城控股,1039.423,1207.2543973125,15,80.4836264875,4
280,601166.XSHG,兴业银行,5004.5024,8907.675,15,593.845,4
281,601169.XSHG,北京银行,1036.0062,2924.175,15,194.945,4
282,601186.XSHG,中国铁建,1082.2896,2557.1064,15,170.47376,4
283,601188.XSHG,龙江交通,36.5814,49.04584402275,15,3.2697229348500003,4
284,601225.XSHG,陕西煤业,1205.0,1344.01924167075,15,89.60128277805,4
285,601229.XSHG,上海银行,1238.8093,2548.8147,15,169.92098,4
286,601238.XSHG,广汽集团,1100.3105,1297.2981963375,15,86.4865464225,4
